prompt_id,family,tail,label,task_type,prob_true,prob_false,prob_mass_tf
tri_v2_001,numeric_validity,answer_colon,False,binary,0.03963710367679596,0.9603191018104553,0.9999562054872513
tri_v2_002,numeric_validity,answer_colon,True,binary,0.8352544903755188,0.1644713580608368,0.9997258484363556
tri_v2_003,numeric_validity,true_or_false,False,binary,0.43961101770401,0.49814456701278687,0.9377555847167969
tri_v2_004,numeric_validity,true_or_false,True,binary,0.41716331243515015,0.5356482863426208,0.952811598777771
tri_v2_005,numeric_validity,true_or_false,False,binary,0.32670047879219055,0.6103568077087402,0.9370572865009308
tri_v2_006,numeric_validity,answer_colon,True,binary,0.9840217232704163,0.01590522937476635,0.9999269526451826
tri_v2_007,numeric_validity,true_or_false,False,binary,0.37889954447746277,0.5512955784797668,0.9301951229572296
tri_v2_008,numeric_validity,the_answer_is,False,binary,0.28650063276290894,0.6872792840003967,0.9737799167633057
tri_v2_011,numeric_validity,true_or_false,True,binary,0.46551039814949036,0.46551039814949036,0.9310207962989807
tri_v2_012,geometry_claim,answer_colon,True,binary,0.9918763637542725,0.008061490952968597,0.9999378547072411
tri_v2_013,geometry_claim,the_answer_is,True,binary,0.9623587727546692,0.029060717672109604,0.9914194904267788
tri_v2_014,numeric_validity,answer_colon,True,binary,0.9889423847198486,0.01098615862429142,0.99992854334414
tri_v2_015,geometry_claim,answer_colon,True,binary,0.9936483502388,0.006289510987699032,0.9999378612264991
tri_v2_016,numeric_validity,true_or_false,True,binary,0.3774566650390625,0.549196183681488,0.9266528487205505
tri_v2_017,numeric_validity,true_or_false,True,binary,0.3769311308860779,0.5484315156936646,0.9253626465797424
tri_v2_018,numeric_validity,answer_colon,False,binary,0.013222511857748032,0.9867540001869202,0.9999765120446682
tri_v2_019,numeric_validity,the_answer_is,False,binary,0.009573639370501041,0.9765376448631287,0.9861112842336297
tri_v2_020,numeric_validity,true_or_false,False,binary,0.3536016643047333,0.5829905867576599,0.9365922510623932
tri_v2_021,numeric_validity,true_or_false,True,binary,0.3583822250366211,0.5908723473548889,0.94925457239151
tri_v2_022,numeric_validity,true_or_false,True,binary,0.4943687319755554,0.4362788796424866,0.930647611618042
tri_v2_023,geometry_claim,answer_colon,False,binary,0.8174932599067688,0.182407408952713,0.9999006688594818
tri_v2_025,numeric_validity,true_or_false,True,binary,0.4943687319755554,0.4362788796424866,0.930647611618042
tri_v2_026,numeric_validity,answer_colon,True,binary,0.22260339558124542,0.776962161064148,0.9995655566453934
tri_v2_027,numeric_validity,answer_colon,True,binary,0.9808026552200317,0.01912260800600052,0.9999252632260323
tri_v2_028,numeric_validity,true_or_false,True,binary,0.3800082802772522,0.5529087781906128,0.932917058467865
tri_v2_029,geometry_claim,answer_colon,False,binary,0.9913886189460754,0.008577192202210426,0.9999658111482859
tri_v2_030,numeric_validity,answer_colon,True,binary,0.8931658267974854,0.10667344927787781,0.9998392760753632
tri_v2_031,numeric_validity,the_answer_is,False,binary,0.020202407613396645,0.9734064936637878,0.9936089012771845
tri_v2_032,numeric_validity,true_or_false,False,binary,0.30911803245544434,0.6544029116630554,0.9635209441184998
tri_v2_034,numeric_validity,answer_colon,False,binary,0.01912347413599491,0.9808470606803894,0.9999705348163843
tri_v2_035,numeric_validity,true_or_false,False,binary,0.33554908633232117,0.6268882155418396,0.9624373018741608
tri_v2_036,numeric_validity,true_or_false,True,binary,0.46715202927589417,0.46715202927589417,0.9343040585517883
tri_v2_037,numeric_validity,the_answer_is,True,binary,0.4605656564235687,0.5218892693519592,0.982454925775528
tri_v2_038,numeric_validity,true_or_false,True,binary,0.3475550711154938,0.573021411895752,0.9205764830112457
tri_v2_039,numeric_validity,answer_colon,False,binary,0.1644875854253769,0.8353369235992432,0.9998245090246201
tri_v2_040,geometry_claim,true_or_false,True,binary,0.44246697425842285,0.5013808012008667,0.9438477754592896
tri_v2_041,numeric_validity,true_or_false,False,binary,0.3613133132457733,0.595704972743988,0.9570182859897614
tri_v2_042,numeric_validity,answer_colon,False,binary,0.02758452668786049,0.9723880290985107,0.9999725557863712
tri_v2_043,numeric_validity,the_answer_is,True,binary,0.6931996941566467,0.28896862268447876,0.9821683168411255
tri_v2_045,numeric_validity,true_or_false,False,binary,0.33540618419647217,0.6266212463378906,0.9620274305343628
tri_v2_047,numeric_validity,true_or_false,True,binary,0.5226821899414062,0.4070653021335602,0.9297474920749664
tri_v2_048,numeric_validity,answer_colon,False,binary,0.01032779086381197,0.9896371960639954,0.9999649869278073
tri_v2_049,numeric_validity,true_or_false,True,binary,0.45916417241096497,0.45916417241096497,0.9183283448219299
tri_v2_050,numeric_validity,true_or_false,False,binary,0.41003161668777466,0.5264909863471985,0.9365226030349731
tri_v2_051,numeric_validity,answer_colon,True,binary,0.8516684174537659,0.14799776673316956,0.9996661841869354
tri_v2_052,numeric_validity,answer_colon,False,binary,0.01912347413599491,0.9808470606803894,0.9999705348163843
tri_v2_054,numeric_validity,true_or_false,True,binary,0.36175647377967834,0.5964356064796448,0.9581920802593231
tri_v2_055,numeric_validity,answer_colon,False,binary,0.05339960381388664,0.9465305209159851,0.9999301247298717
tri_v2_056,numeric_validity,the_answer_is,True,binary,0.7128775119781494,0.2622530162334442,0.9751305282115936
tri_v2_058,numeric_validity,the_answer_is,False,binary,0.029048079624772072,0.9619402885437012,0.9909883681684732
tri_v2_059,geometry_claim,true_or_false,True,binary,0.4614705443382263,0.4614705443382263,0.9229410886764526
tri_v2_060,geometry_claim,true_or_false,False,binary,0.46420150995254517,0.46420150995254517,0.9284030199050903
tri_v2_061,numeric_validity,the_answer_is,False,binary,0.029149025678634644,0.9652831554412842,0.9944321811199188
tri_v2_062,numeric_validity,answer_colon,True,binary,0.9667637348175049,0.03308083489537239,0.9998445697128773
tri_v2_063,numeric_validity,the_answer_is,False,binary,0.13076485693454742,0.8526939749717712,0.9834588319063187
tri_v2_064,numeric_validity,the_answer_is,False,binary,0.05929919704794884,0.9275954961776733,0.9868946932256222
tri_v2_065,numeric_validity,answer_colon,True,binary,0.9866955280303955,0.013221727684140205,0.9999172557145357
tri_v2_067,numeric_validity,true_or_false,False,binary,0.4079640507698059,0.5238361954689026,0.9318002462387085
tri_v2_068,numeric_validity,answer_colon,True,binary,0.9524760246276855,0.047420989722013474,0.999897014349699
tri_v2_069,numeric_validity,the_answer_is,True,binary,0.7843232154846191,0.19830796122550964,0.9826311767101288
tri_v2_070,numeric_validity,true_or_false,False,binary,0.4078836441040039,0.5237329602241516,0.9316166043281555
tri_v2_071,numeric_validity,answer_colon,False,binary,0.008577223867177963,0.9913922548294067,0.9999694786965847
tri_v2_072,geometry_claim,the_answer_is,True,binary,0.9604660868644714,0.029003562405705452,0.9894696492701769
tri_v2_073,numeric_validity,true_or_false,False,binary,0.30131325125694275,0.6378801465034485,0.9391933977603912
tri_v2_074,numeric_validity,the_answer_is,True,binary,0.15741223096847534,0.7994053363800049,0.9568175673484802
tri_v2_075,numeric_validity,true_or_false,True,binary,0.3432391285896301,0.5659056305885315,0.9091447591781616
tri_v2_076,numeric_validity,the_answer_is,True,binary,0.5824220180511475,0.40029242634773254,0.98271444439888
tri_v2_077,numeric_validity,the_answer_is,True,binary,0.5529356002807617,0.43062666058540344,0.9835622608661652
tri_v2_078,numeric_validity,answer_colon,True,binary,0.8931308388710022,0.10666926950216293,0.9998001083731651
tri_v2_079,numeric_validity,answer_colon,False,binary,0.1644875854253769,0.8353369235992432,0.9998245090246201
tri_v2_080,geometry_claim,the_answer_is,False,binary,0.7699152231216431,0.22058440744876862,0.9904996305704117
tri_v2_082,numeric_validity,the_answer_is,False,binary,0.09394880384206772,0.8913614749908447,0.9853102788329124
tri_v2_083,numeric_validity,answer_colon,False,binary,0.03308500722050667,0.9668856263160706,0.9999706335365772
tri_v2_084,geometry_claim,true_or_false,False,binary,0.43751204013824463,0.4957660734653473,0.9332781136035919
tri_v2_085,numeric_validity,answer_colon,True,binary,0.4686715602874756,0.5310744643211365,0.9997460246086121
tri_v2_086,numeric_validity,true_or_false,False,binary,0.29960983991622925,0.6342740058898926,0.9338838458061218
tri_v2_087,numeric_validity,answer_colon,False,binary,0.04208502173423767,0.9578506350517273,0.999935656785965
tri_v2_090,numeric_validity,answer_colon,True,binary,0.9858608245849609,0.014062548987567425,0.9999233735725284
tri_v2_091,numeric_validity,answer_colon,False,binary,0.9739536046981812,0.02595498412847519,0.9999085888266563
tri_v2_092,numeric_validity,answer_colon,True,binary,0.09531538188457489,0.9043272137641907,0.9996425956487656
tri_v2_093,numeric_validity,the_answer_is,False,binary,0.010875794105231762,0.9790077209472656,0.9898835150524974
tri_v2_094,numeric_validity,true_or_false,True,binary,0.35430672764778137,0.5841529965400696,0.938459724187851
tri_v2_095,numeric_validity,true_or_false,True,binary,0.46804600954055786,0.46804600954055786,0.9360920190811157
tri_v2_096,geometry_claim,the_answer_is,False,binary,0.9489622712135315,0.04169449210166931,0.9906567633152008
tri_v2_097,geometry_claim,answer_colon,False,binary,0.9943769574165344,0.005554544739425182,0.9999315021559596
tri_v2_098,geometry_claim,the_answer_is,False,binary,0.8757164478302002,0.11851533502340317,0.9942317828536034
tri_v2_099,numeric_validity,true_or_false,True,binary,0.47685185074806213,0.47685185074806213,0.9537037014961243
tri_v2_100,numeric_validity,answer_colon,False,binary,0.004905322100967169,0.9950776696205139,0.9999829917214811
tri_v2_101,numeric_validity,answer_colon,True,binary,0.9769197702407837,0.022974951192736626,0.9998947214335203
tri_v2_102,numeric_validity,answer_colon,False,binary,0.002323112217709422,0.9976552724838257,0.9999783847015351
tri_v2_103,numeric_validity,true_or_false,True,binary,0.4607993960380554,0.4607993960380554,0.9215987920761108
tri_v2_105,numeric_validity,true_or_false,True,binary,0.3902536630630493,0.5678157210350037,0.958069384098053
tri_v2_106,numeric_validity,the_answer_is,True,binary,0.5810906887054443,0.39937740564346313,0.9804680943489075
tri_v2_107,numeric_validity,the_answer_is,False,binary,0.01785898394882679,0.9750674962997437,0.9929264802485704
tri_v2_108,numeric_validity,true_or_false,False,binary,0.3277079164981842,0.6122389435768127,0.939946860074997
tri_v2_109,numeric_validity,the_answer_is,True,binary,0.8839235901832581,0.0931648537516594,0.9770884439349174
tri_v2_110,numeric_validity,the_answer_is,True,binary,0.8834202289581299,0.0931118056178093,0.9765320345759392
tri_v2_111,numeric_validity,true_or_false,True,binary,0.37932831048965454,0.5519194602966309,0.9312477707862854
tri_v2_112,numeric_validity,true_or_false,False,binary,0.37864089012145996,0.550919234752655,0.929560124874115
tri_v2_113,numeric_validity,answer_colon,True,binary,0.49930816888809204,0.49930816888809204,0.9986163377761841
tri_v2_114,geometry_claim,true_or_false,False,binary,0.44606757164001465,0.505460798740387,0.9515283703804016
tri_v2_115,numeric_validity,answer_colon,False,binary,0.008577304892241955,0.9914016127586365,0.9999789176508784
tri_v2_116,numeric_validity,the_answer_is,False,binary,0.10484549403190613,0.8778605461120605,0.9827060401439667
tri_v2_117,numeric_validity,the_answer_is,False,binary,0.01779984124004841,0.9718384146690369,0.9896382559090853
tri_v2_119,numeric_validity,the_answer_is,True,binary,0.4605656564235687,0.5218892693519592,0.982454925775528
tri_v2_120,numeric_validity,answer_colon,False,binary,0.02033177576959133,0.9796398282051086,0.9999716039747
tri_v2_121,numeric_validity,the_answer_is,False,binary,0.01779984124004841,0.9718384146690369,0.9896382559090853
tri_v2_122,numeric_validity,true_or_false,False,binary,0.3359140455722809,0.6275700330734253,0.9634840786457062
tri_v2_123,numeric_validity,the_answer_is,True,binary,0.7134657502174377,0.26246941089630127,0.975935161113739
tri_v2_124,numeric_validity,true_or_false,False,binary,0.410013884305954,0.5264682173728943,0.9364821016788483
tri_v2_125,numeric_validity,true_or_false,True,binary,0.39026889204978943,0.5678378343582153,0.9581067264080048
