prompt_id,family,tail,label,task_type,prob_true,prob_false,prob_mass_tf
tri_v2_001,numeric_validity,answer_colon,False,binary,0.02766500972211361,0.12398596853017807,0.15165097825229168
tri_v2_002,numeric_validity,answer_colon,True,binary,0.11155116558074951,0.028204547241330147,0.13975571282207966
tri_v2_003,numeric_validity,true_or_false,False,binary,0.004877613857388496,0.0009604591177776456,0.005838072975166142
tri_v2_004,numeric_validity,true_or_false,True,binary,0.006054677534848452,0.0010521451476961374,0.007106822682544589
tri_v2_005,numeric_validity,true_or_false,False,binary,0.006010015029460192,0.0010443839710205793,0.007054399000480771
tri_v2_006,numeric_validity,answer_colon,True,binary,0.13631543517112732,0.05682472512125969,0.193140160292387
tri_v2_007,numeric_validity,true_or_false,False,binary,0.005198292434215546,0.0007035123999230564,0.005901804834138602
tri_v2_008,numeric_validity,the_answer_is,False,binary,0.010390996001660824,0.0055618989281356335,0.015952894929796457
tri_v2_011,numeric_validity,true_or_false,True,binary,0.004119946621358395,0.0007159394444897771,0.004835886065848172
tri_v2_012,geometry_claim,answer_colon,True,binary,0.13210076093673706,0.02947566658258438,0.16157642751932144
tri_v2_013,geometry_claim,the_answer_is,True,binary,0.04247145354747772,0.0121682770550251,0.05463973060250282
tri_v2_014,numeric_validity,answer_colon,True,binary,0.2776496708393097,0.0292640570551157,0.3069137278944254
tri_v2_015,geometry_claim,answer_colon,True,binary,0.14152145385742188,0.0315777026116848,0.17309915646910667
tri_v2_016,numeric_validity,true_or_false,True,binary,0.00384737690910697,0.0006685738917440176,0.0045159508008509874
tri_v2_017,numeric_validity,true_or_false,True,binary,0.004856990650296211,0.0007448436226695776,0.005601834272965789
tri_v2_018,numeric_validity,answer_colon,False,binary,0.022591952234506607,0.13000771403312683,0.15259966626763344
tri_v2_019,numeric_validity,the_answer_is,False,binary,0.0002239012683276087,0.008401833474636078,0.008625734742963687
tri_v2_020,numeric_validity,true_or_false,False,binary,0.003889416577294469,0.0006758792442269623,0.004565295821521431
tri_v2_021,numeric_validity,true_or_false,True,binary,0.005833841860294342,0.0011487515876069665,0.0069825934479013085
tri_v2_022,numeric_validity,true_or_false,True,binary,0.004123044665902853,0.0007164776907302439,0.004839522356633097
tri_v2_023,geometry_claim,answer_colon,False,binary,0.1904454380273819,0.03309445083141327,0.22353988885879517
tri_v2_025,numeric_validity,true_or_false,True,binary,0.004123044665902853,0.0007164776907302439,0.004839522356633097
tri_v2_026,numeric_validity,answer_colon,True,binary,0.1300278902053833,0.04783459007740021,0.1778624802827835
tri_v2_027,numeric_validity,answer_colon,True,binary,0.24344968795776367,0.029075918719172478,0.27252560667693615
tri_v2_028,numeric_validity,true_or_false,True,binary,0.004266270436346531,0.0007413667044602334,0.005007637140806764
tri_v2_029,geometry_claim,answer_colon,False,binary,0.17725354433059692,0.03955061361193657,0.2168041579425335
tri_v2_030,numeric_validity,answer_colon,True,binary,0.108435720205307,0.04520272836089134,0.15363844856619835
tri_v2_031,numeric_validity,the_answer_is,False,binary,0.0008385750697925687,0.005468196235597134,0.006306771305389702
