prompt_id,family,tail,label,task_type,prob_true,prob_false,prob_mass_tf
tri_v3_003,numeric_validity,false_or_true,False,binary,0.005711677018553019,0.0009925406193360686,0.006704217637889087
tri_v3_004,numeric_validity,false_or_true,True,binary,0.011614149436354637,0.0017810874851420522,0.01339523692149669
tri_v3_005,numeric_validity,false_or_true,False,binary,0.005871445871889591,0.0011561563005670905,0.007027602172456682
tri_v3_007,numeric_validity,false_or_true,False,binary,0.0072695850394666195,0.0007662085699848831,0.008035793609451503
tri_v3_011,numeric_validity,false_or_true,True,binary,0.005789970979094505,0.0006915133562870324,0.006481484335381538
tri_v3_016,numeric_validity,false_or_true,True,binary,0.005432882811874151,0.000944093510042876,0.006376976321917027
tri_v3_017,numeric_validity,false_or_true,True,binary,0.0059252167120575905,0.0010296482359990478,0.006954864948056638
tri_v3_020,numeric_validity,false_or_true,False,binary,0.004889931529760361,0.0007498952909372747,0.005639826820697635
tri_v3_021,numeric_validity,false_or_true,True,binary,0.011869173496961594,0.0016063179355114698,0.013475491432473063
tri_v3_022,numeric_validity,false_or_true,True,binary,0.005867775995284319,0.000700805860105902,0.006568581855390221
tri_v3_025,numeric_validity,false_or_true,True,binary,0.005867775995284319,0.000700805860105902,0.006568581855390221
tri_v3_028,numeric_validity,false_or_true,True,binary,0.007299165707081556,0.0014372908044606447,0.008736456511542201
tri_v3_032,numeric_validity,false_or_true,False,binary,0.008225524798035622,0.00126142508815974,0.009486949886195362
tri_v3_035,numeric_validity,false_or_true,False,binary,0.005969710182398558,0.0010373800760135055,0.007007090258412063
tri_v3_036,numeric_validity,false_or_true,True,binary,0.0048012458719313145,0.0005734270671382546,0.005374672939069569
tri_v3_038,numeric_validity,false_or_true,True,binary,0.007487085647881031,0.0013010603142902255,0.008788145962171257
tri_v3_040,geometry_claim,false_or_true,True,binary,0.012012463994324207,0.0023653944954276085,0.014377858489751816
tri_v3_041,numeric_validity,false_or_true,False,binary,0.00966925173997879,0.0014828279381617904,0.01115207967814058
tri_v3_045,numeric_validity,false_or_true,False,binary,0.008055898360908031,0.0012354119680821896,0.009291310328990221
tri_v3_047,numeric_validity,false_or_true,True,binary,0.005995729472488165,0.0006319452659226954,0.00662767473841086
tri_v3_049,numeric_validity,false_or_true,True,binary,0.005809309892356396,0.0007862045895308256,0.006595514481887221
tri_v3_050,numeric_validity,false_or_true,False,binary,0.006538046058267355,0.001136142062023282,0.007674188120290637
tri_v3_054,numeric_validity,false_or_true,True,binary,0.012852093204855919,0.001739341882057488,0.014591435086913407
tri_v3_059,geometry_claim,false_or_true,True,binary,0.013242083601653576,0.002954708179458976,0.01619679178111255
tri_v3_060,geometry_claim,false_or_true,False,binary,0.014732575975358486,0.0032872818410396576,0.018019857816398144
tri_v3_067,numeric_validity,false_or_true,False,binary,0.007205279543995857,0.000759430811740458,0.007964710355736315
tri_v3_070,numeric_validity,false_or_true,False,binary,0.007329442538321018,0.0007725174655206501,0.008101960003841668
tri_v3_073,numeric_validity,false_or_true,False,binary,0.006132801529020071,0.001065721153281629,0.0071985226823017
tri_v3_075,numeric_validity,false_or_true,True,binary,0.005199194420129061,0.0007973222527652979,0.005996516672894359
tri_v3_084,geometry_claim,false_or_true,False,binary,0.0157817080616951,0.0031076022423803806,0.01888931030407548
tri_v3_086,numeric_validity,false_or_true,False,binary,0.006245138589292765,0.0010852423729375005,0.007330380962230265
tri_v3_094,numeric_validity,false_or_true,True,binary,0.005653661210089922,0.0006752334884367883,0.00632889469852671
tri_v3_095,numeric_validity,false_or_true,True,binary,0.006575454492121935,0.0007853259448893368,0.007360780437011272
tri_v3_099,numeric_validity,false_or_true,True,binary,0.010521715506911278,0.0014239593874663115,0.01194567489437759
tri_v3_103,numeric_validity,false_or_true,True,binary,0.005068561062216759,0.0006859551649540663,0.005754516227170825
tri_v3_105,numeric_validity,false_or_true,True,binary,0.0099849384278059,0.0017351222923025489,0.01172006072010845
tri_v3_108,numeric_validity,false_or_true,False,binary,0.006165562197566032,0.000945519597735256,0.007111081795301288
tri_v3_111,numeric_validity,false_or_true,True,binary,0.006759626790881157,0.0011746470117941499,0.007934273802675307
tri_v3_112,numeric_validity,false_or_true,False,binary,0.005854497663676739,0.0011528190225362778,0.0070073166862130165
tri_v3_114,geometry_claim,false_or_true,False,binary,0.011969349347054958,0.0026707227807492018,0.01464007212780416
tri_v3_122,numeric_validity,false_or_true,False,binary,0.009018709883093834,0.0015672168228775263,0.01058592670597136
tri_v3_124,numeric_validity,false_or_true,False,binary,0.005910759326070547,0.001163897686637938,0.007074657012708485
