prompt_id,family,tail,label,label_token,task_type,prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,prob_mass_digits
tri_v2_009,numeric_open,answer_colon,6,6,numeric,0.00019208287994842976,0.0014193110400810838,0.0012525377096608281,0.0006704351399093866,0.0005916569498367608,0.0003588580584619194,0.0005221354076638818,0.00019208287994842976,0.00013201650290284306,9.073352703126147e-05,0.0054218500954448245
tri_v2_010,numeric_open,answer_colon,2,2,numeric,0.00016629829769954085,0.0017878750804811716,0.0017878750804811716,0.0007452972931787372,0.0006577225285582244,0.00035205346648581326,0.0002741795324254781,0.00018844063743017614,0.00011429503501858562,8.901306864572689e-05,0.006163050020404626
tri_v2_024,numeric_open,answer_colon,3,3,numeric,0.00012964321649633348,0.001579377567395568,0.001579377567395568,0.0008453799528069794,0.0007460452034138143,0.000352406786987558,0.00031099788611754775,0.00021374553034547716,0.00012964321649633348,0.00010096623736899346,0.005987583164824173
tri_v2_033,numeric_open,answer_colon,8,8,numeric,0.00012333608174230903,0.0011701801558956504,0.0011701801558956504,0.0005527539760805666,0.0005527539760805666,0.0002958678815048188,0.0002958678815048188,0.00033526221523061395,0.00012333608174230903,9.605423838365823e-05,0.004715592644060962
tri_v2_044,numeric_open,answer_colon,2,2,numeric,0.00020551170746330172,0.0015185375232249498,0.0013401046162471175,0.0009210396092385054,0.0009210396092385054,0.00038394646253436804,0.00029901775997132063,0.00020551170746330172,0.00012464914470911026,9.707685967441648e-05,0.006016434999764897
tri_v2_046,numeric_open,answer_colon,1,1,numeric,0.00022495748999062926,0.0014669070951640606,0.0012945409398525953,0.0007851788541302085,0.0007851788541302085,0.00037089220131747425,0.00042027595918625593,0.0002549102355260402,0.00019852428522426635,0.00022495748999062926,0.006026323404512368
tri_v2_053,numeric_open,answer_colon,8,8,numeric,0.0001860261254478246,0.001557577634230256,0.0013745573814958334,0.0009447186603210866,0.0008337112958543003,0.00044625348527915776,0.0003475425473880023,0.0002388622669968754,0.00016416747530456632,0.0001278537674807012,0.006221270639798604
tri_v2_057,numeric_open,answer_colon,7,7,numeric,0.00012411348870955408,0.0015120116295292974,0.0011775559978559613,0.0006303002592176199,0.0006303002592176199,0.0003373754152562469,0.0003373754152562469,0.0003822964208666235,0.0001593648485140875,0.00010952976299449801,0.005400223497417755
tri_v2_066,numeric_open,answer_colon,9,9,numeric,0.0001257068506674841,0.0011926733423024416,0.0010525305988267064,0.0006383921136148274,0.0006383921136148274,0.00030155506101436913,0.00030155506101436913,0.0003872044035233557,0.00014244450721889734,0.0001109359145630151,0.004891389966360293
tri_v2_081,numeric_open,answer_colon,3,3,numeric,0.00014489094610325992,0.0013746869517490268,0.0008337898761965334,0.0005057191010564566,0.0004462955694179982,0.00021081508020870388,0.00018604364595375955,0.00014489094610325992,9.958199370885268e-05,7.755453407298774e-05,0.004024268644570839
tri_v2_088,numeric_open,answer_colon,3,3,numeric,0.0001869437110144645,0.001381337526254356,0.001219026162289083,0.0007393767591565847,0.0009493785328231752,0.000395759881939739,0.000395759881939739,0.00021183498029131442,0.00012848440383095294,0.0001000637566903606,0.005707965596229769
tri_v2_089,numeric_open,answer_colon,8,8,numeric,0.00010685129382181913,0.0011487597366794944,0.0011487597366794944,0.0006967579829506576,0.0006967579829506576,0.00037294765934348106,0.0005426356219686568,0.00025632293545641005,0.00012107838847441599,9.429593774257228e-05,0.005185167276067659
tri_v2_104,numeric_open,answer_colon,5,5,numeric,0.00021208579710219055,0.0013829730451107025,0.0012204694794490933,0.0006532702827826142,0.0006532702827826142,0.00057650898816064,0.00034967035753652453,0.00021208579710219055,0.00014576427929569036,0.00014576427929569036,0.005551862588617951
tri_v2_118,numeric_open,answer_colon,6,6,numeric,0.00013269025657791644,0.001258930191397667,0.0011110020568594337,0.0005248002125881612,0.0005248002125881612,0.0003183074004482478,0.0005248002125881612,0.00019306319882161915,0.00011709875252563506,9.119659807765856e-05,0.004796689092472661
tri_v2_142,numeric_open,answer_colon,3,3,numeric,0.00013689893239643425,0.0018898312700912356,0.0016677702078595757,0.0007877989555709064,0.0007877989555709064,0.0004216783563606441,0.00032840343192219734,0.0002257081650895998,0.0001208128742291592,0.00010661698615876958,0.0064733181352494285
tri_v2_153,numeric_open,answer_colon,7,7,numeric,0.0001677797845331952,0.0014048028970137239,0.0010940617648884654,0.0006635820027440786,0.0006635820027440786,0.0003551898116711527,0.00031345392926596105,0.00021543352340813726,0.00014806514082010835,0.00014806514082010835,0.0051740159979090095
tri_v2_155,numeric_open,answer_colon,5,5,numeric,0.0001664386800257489,0.0013935740571469069,0.001085316645912826,0.0005809281137771904,0.0005809281137771904,0.0003109484096057713,0.00021371150796767324,0.0001664386800257489,0.00012962258188053966,0.00010095016477862373,0.0047288569548982196
tri_v2_160,numeric_open,answer_colon,5,5,numeric,0.00013664830476045609,0.0014691076939925551,0.0008910589385777712,0.0005404545809142292,0.00047694946988485754,0.00022529497800860554,0.00019882211927324533,0.00015484281175304204,9.391691855853423e-05,7.314257527468726e-05,0.0042602383909979835
tri_v2_164,numeric_open,answer_colon,8,8,numeric,0.00018675053433980793,0.001563643105328083,0.0012177665485069156,0.0006518234731629491,0.0006518234731629491,0.0003488959337119013,0.00030789957963861525,0.00021161609038244933,0.00016480677004437894,0.00011326993262628093,0.0054182954409043305
tri_v2_165,numeric_open,answer_colon,2,2,numeric,0.00016451852570753545,0.00121563661377877,0.001072795712389052,0.0006506834761239588,0.0006506834761239588,0.00034828571369871497,0.00034828571369871497,0.00023937303922139108,0.00021124597697053105,0.0001451870775781572,0.005046695325290784
tri_v2_171,numeric_open,answer_colon,7,7,numeric,0.00019109089043922722,0.0015999843599274755,0.0012460690923035145,0.0006669727736152709,0.0006669727736152709,0.0003570047556422651,0.0003150556003674865,0.0002780355862341821,0.00013133471657056361,0.00010228357859887183,0.005554804127314128
tri_v2_178,numeric_open,answer_colon,7,7,numeric,0.00012266740668565035,0.0013187987497076392,0.001693371101282537,0.0007059021736495197,0.0006229564896784723,0.0003778421669267118,0.0005497571546584368,0.00025968687259592116,0.00012266740668565035,9.553346899338067e-05,0.005869182990863919
tri_v2_185,numeric_open,answer_colon,7,7,numeric,0.00012266740668565035,0.0013187987497076392,0.001693371101282537,0.0007059021736495197,0.0006229564896784723,0.0003778421669267118,0.0005497571546584368,0.00025968687259592116,0.00012266740668565035,9.553346899338067e-05,0.005869182990863919
tri_v2_190,numeric_open,answer_colon,9,9,numeric,0.00014324857329484075,0.001359104528091848,0.0011994056403636932,0.0006419955752789974,0.0007274763192981482,0.0008243386400863528,0.00038938995567150414,0.00023617695842403919,0.00014324857329484075,9.845320892054588e-05,0.00576283797272481
tri_v2_206,numeric_open,answer_colon,7,7,numeric,0.00012266740668565035,0.0013187987497076392,0.001693371101282537,0.0007059021736495197,0.0006229564896784723,0.0003778421669267118,0.0005497571546584368,0.00025968687259592116,0.00012266740668565035,9.553346899338067e-05,0.005869182990863919
