prompt_id,family,tail,label,label_token,task_type,prob_digit_0,prob_digit_1,prob_digit_2,prob_digit_3,prob_digit_4,prob_digit_5,prob_digit_6,prob_digit_7,prob_digit_8,prob_digit_9,prob_mass_digits
tri_v2_009,numeric_open,answer_colon,6,6,numeric,1.983119318538229e-06,8.139920282701496e-06,1.0189826753048692e-05,1.258275551663246e-05,1.0110528819495812e-05,7.023905709502287e-06,1.5565683497698046e-06,1.7500966578154475e-06,7.527071943513874e-07,4.4946199295736733e-07,5.453889059481298e-05
tri_v2_010,numeric_open,answer_colon,2,2,numeric,5.9589069678622764e-08,7.373754442596692e-07,1.0728749657573644e-06,8.203177458199207e-06,2.3802770101610804e-06,2.634726570249768e-06,8.226018053392181e-07,6.71388022510655e-07,2.1458848209476855e-07,1.864377310312193e-07,1.6983036559281572e-05
tri_v2_024,numeric_open,answer_colon,3,3,numeric,1.7077263692044653e-07,2.180278897867538e-06,2.549004420870915e-06,2.589145424281014e-06,7.669606929994188e-06,1.0648194802342914e-05,6.6634697759582195e-06,5.109059202368371e-06,1.9240892470406834e-06,1.301904035244661e-06,4.080552537288895e-05
tri_v2_033,numeric_open,answer_colon,8,8,numeric,1.5158516930569021e-07,4.361287210485898e-06,1.102706164601841e-06,3.587497531043482e-06,4.535021616902668e-06,9.638216397434007e-06,8.439505108981393e-06,5.961173883406445e-06,3.7891522879363038e-06,3.190786401319201e-06,4.475693177141693e-05
tri_v2_044,numeric_open,answer_colon,2,2,numeric,6.295510388554248e-07,7.289758286788128e-06,7.093129624990979e-06,3.298611773061566e-06,1.7656195723247947e-06,2.180249111916055e-06,8.87809335381462e-07,7.133747885745834e-07,3.165581574648968e-07,2.3895063350209966e-07,2.441361232285999e-05
tri_v2_046,numeric_open,answer_colon,1,1,numeric,8.419916639468283e-07,4.242710019752849e-06,2.1501009541680105e-06,4.377388449938735e-06,4.960230398864951e-06,5.1176853048673365e-06,5.363287982618203e-06,5.280137884255964e-06,3.544916808095877e-06,1.3882095117878634e-06,3.726665897829662e-05
tri_v2_053,numeric_open,answer_colon,8,8,numeric,5.706410775019322e-07,5.643526037601987e-06,3.6705196180264466e-06,4.550226549326908e-06,8.048530617088545e-06,9.727361430122983e-06,6.581861271115486e-06,7.328270385187352e-06,4.2206183934467845e-06,3.543719913068344e-06,5.388527529248677e-05
tri_v2_057,numeric_open,answer_colon,7,7,numeric,1.554899142774957e-07,7.120972895791056e-06,1.2817170045309467e-06,2.4513478820153978e-06,2.865916258087964e-06,4.990697107132291e-06,1.2220115422678646e-05,7.120972895791056e-06,7.176823146437528e-06,5.333361968951067e-06,5.071741449569345e-05
tri_v2_066,numeric_open,answer_colon,9,9,numeric,1.6675741676408506e-07,6.356067387969233e-06,1.3532848015529453e-06,1.5576213172607822e-06,4.103785613551736e-06,8.354892997886054e-06,1.1330915185681079e-05,6.872548055980587e-06,6.661101451754803e-06,5.1072438509436324e-06,5.186421807934494e-05
tri_v2_081,numeric_open,answer_colon,3,3,numeric,5.679551691173401e-07,9.494317964708898e-06,1.6693130646672216e-06,2.1267599095153855e-06,2.8395970730343834e-06,3.7035331388324266e-06,4.484797500481363e-06,6.932637006684672e-06,6.22652532911161e-06,7.055577498249477e-06,4.510101365440278e-05
tri_v2_088,numeric_open,answer_colon,3,3,numeric,8.03618263489625e-07,6.728612788720056e-06,8.308728865813464e-06,1.0942969311145134e-05,5.240248810878256e-06,5.823129413329298e-06,1.1332833764754469e-06,1.2253714203325217e-06,6.873710844956804e-07,3.796023690938455e-07,4.127293570377333e-05
tri_v2_089,numeric_open,answer_colon,8,8,numeric,1.3481384542046726e-07,3.1657486943004187e-06,8.004266760508472e-07,1.239725065715902e-06,3.3963526675506728e-06,9.94351830740925e-06,5.058851911599049e-06,1.0626247785694432e-05,4.327065653342288e-06,3.788905587498448e-06,4.2481656194581774e-05
tri_v2_104,numeric_open,answer_colon,5,5,numeric,7.302750191229279e-07,4.951687515131198e-06,3.97879239244503e-06,7.790097697579768e-06,9.732879334478639e-06,3.886624199367361e-06,5.029665317124454e-06,5.029665317124454e-06,2.671235051820986e-06,9.376917091685755e-07,4.473861355336339e-05
tri_v2_118,numeric_open,answer_colon,6,6,numeric,3.6077787513022486e-07,3.531621587171685e-06,2.9278171496116556e-06,6.546591976075433e-06,8.740847988519818e-06,2.01649236259982e-05,5.914353096159175e-06,1.0543475582380779e-05,2.837737838490284e-06,1.7211749536727439e-06,6.328932167321e-05
tri_v2_142,numeric_open,answer_colon,3,3,numeric,1.1166724078748302e-07,1.1455595085863024e-06,2.6018055905296933e-06,2.3505353965447284e-06,7.382958301604958e-06,1.0150610251002945e-05,3.7856048038520385e-06,2.3875511487858603e-06,8.783310363469354e-07,6.036674449205748e-07,3.139829072296152e-05
tri_v2_153,numeric_open,answer_colon,7,7,numeric,7.508258477173513e-07,8.900208740669768e-06,2.312706328666536e-06,4.220615664962679e-06,4.492821972235106e-06,4.287080628273543e-06,4.973100203642389e-06,5.83689916311414e-06,4.1228445297747385e-06,3.087868208240252e-06,4.29849712872965e-05
tri_v2_155,numeric_open,answer_colon,5,5,numeric,5.317254476722155e-07,1.0151186870643869e-05,1.914816721182433e-06,3.2827595077833394e-06,3.083867341047153e-06,4.085460204805713e-06,5.672100087394938e-06,8.481633813062217e-06,6.377313184202649e-06,6.657311132585164e-06,5.023817431037969e-05
tri_v2_160,numeric_open,answer_colon,5,5,numeric,7.246424047480104e-07,1.4308205209090374e-05,2.2495619305118453e-06,2.8437127639335813e-06,3.3246369639527984e-06,4.235697360854829e-06,4.438972609932534e-06,5.8121713664149866e-06,4.688489752879832e-06,5.481399512063945e-06,4.8107489874382736e-05
