num,base_id,v3_id,family,label,base_tail,v3_tail,sides
003,tri_v2_003,tri_v3_003,numeric_validity,False,true_or_false,false_or_true,"[9, 10, 12]"
004,tri_v2_004,tri_v3_004,numeric_validity,True,true_or_false,false_or_true,"[4, 6, 7]"
005,tri_v2_005,tri_v3_005,numeric_validity,False,true_or_false,false_or_true,"[10, 24, 26]"
007,tri_v2_007,tri_v3_007,numeric_validity,False,true_or_false,false_or_true,"[2, 5, 6]"
011,tri_v2_011,tri_v3_011,numeric_validity,True,true_or_false,false_or_true,"[9, 10, 12]"
016,tri_v2_016,tri_v3_016,numeric_validity,True,true_or_false,false_or_true,"[3, 4, 6]"
017,tri_v2_017,tri_v3_017,numeric_validity,True,true_or_false,false_or_true,"[2, 3, 4]"
020,tri_v2_020,tri_v3_020,numeric_validity,False,true_or_false,false_or_true,"[2, 4, 8]"
021,tri_v2_021,tri_v3_021,numeric_validity,True,true_or_false,false_or_true,"[3, 3, 4]"
022,tri_v2_022,tri_v3_022,numeric_validity,True,true_or_false,false_or_true,"[5, 6, 9]"
025,tri_v2_025,tri_v3_025,numeric_validity,True,true_or_false,false_or_true,"[5, 6, 9]"
028,tri_v2_028,tri_v3_028,numeric_validity,True,true_or_false,false_or_true,"[7, 24, 25]"
032,tri_v2_032,tri_v3_032,numeric_validity,False,true_or_false,false_or_true,"[5, 5, 8]"
035,tri_v2_035,tri_v3_035,numeric_validity,False,true_or_false,false_or_true,"[10, 12, 15]"
036,tri_v2_036,tri_v3_036,numeric_validity,True,true_or_false,false_or_true,"[5, 5, 5]"
038,tri_v2_038,tri_v3_038,numeric_validity,True,true_or_false,false_or_true,"[6, 6, 6]"
040,tri_v2_040,tri_v3_040,geometry_claim,True,true_or_false,false_or_true,
041,tri_v2_041,tri_v3_041,numeric_validity,False,true_or_false,false_or_true,"[1, 1, 3]"
045,tri_v2_045,tri_v3_045,numeric_validity,False,true_or_false,false_or_true,"[3, 7, 8]"
047,tri_v2_047,tri_v3_047,numeric_validity,True,true_or_false,false_or_true,"[2, 4, 5]"
049,tri_v2_049,tri_v3_049,numeric_validity,True,true_or_false,false_or_true,"[6, 11, 14]"
050,tri_v2_050,tri_v3_050,numeric_validity,False,true_or_false,false_or_true,"[5, 5, 8]"
054,tri_v2_054,tri_v3_054,numeric_validity,True,true_or_false,false_or_true,"[4, 4, 4]"
059,tri_v2_059,tri_v3_059,geometry_claim,True,true_or_false,false_or_true,
060,tri_v2_060,tri_v3_060,geometry_claim,False,true_or_false,false_or_true,
067,tri_v2_067,tri_v3_067,numeric_validity,False,true_or_false,false_or_true,"[6, 6, 10]"
070,tri_v2_070,tri_v3_070,numeric_validity,False,true_or_false,false_or_true,"[6, 10, 13]"
073,tri_v2_073,tri_v3_073,numeric_validity,False,true_or_false,false_or_true,"[4, 6, 7]"
075,tri_v2_075,tri_v3_075,numeric_validity,True,true_or_false,false_or_true,"[15, 15, 2]"
084,tri_v2_084,tri_v3_084,geometry_claim,False,true_or_false,false_or_true,
086,tri_v2_086,tri_v3_086,numeric_validity,False,true_or_false,false_or_true,"[5, 7, 8]"
094,tri_v2_094,tri_v3_094,numeric_validity,True,true_or_false,false_or_true,"[6, 10, 13]"
095,tri_v2_095,tri_v3_095,numeric_validity,True,true_or_false,false_or_true,"[2, 3, 4]"
099,tri_v2_099,tri_v3_099,numeric_validity,True,true_or_false,false_or_true,"[3, 4, 5]"
103,tri_v2_103,tri_v3_103,numeric_validity,True,true_or_false,false_or_true,"[6, 6, 10]"
105,tri_v2_105,tri_v3_105,numeric_validity,True,true_or_false,false_or_true,"[6, 10, 13]"
108,tri_v2_108,tri_v3_108,numeric_validity,False,true_or_false,false_or_true,"[2, 3, 4]"
111,tri_v2_111,tri_v3_111,numeric_validity,True,true_or_false,false_or_true,"[7, 9, 11]"
